,Actual Values,Lasso Predicted Values,Random Forest Predicted Values,Linear Regression Predicted Values,Lasso Absolute Error,Random Forest Absolute Error,Linear Regression Absolute Error,Lasso Accuracy (%),Random Forest Accuracy (%),Linear Regression Accuracy (%)
68,27994.330078125,23288.37044252117,27322.633125,23231.36865666254,4705.959635603831,671.6969531249997,4762.96142146246,83.18959724176037,97.60059643774126,82.98597820283516
69,43746.4453125,41590.11528952766,43273.780234375,41212.812017602664,2156.330022972339,472.6650781249991,2533.633294897336,95.07084516794741,98.9195348907813,94.20836761296036
70,23175.890625,18468.12391016281,23189.40779296875,18208.32649235345,4707.766714837191,13.517167968748254,4967.564132646548,79.68679266306647,99.94167573454905,78.56581128628558
71,67913.671875,67011.31921491027,66597.601484375,65858.78565919839,902.3526600897312,1316.0703906249983,2054.8862158016127,98.67132399828039,98.06214219568731,96.97426724388606
72,26256.826171875,29452.033394477952,26415.31255859375,29448.43369662692,3195.2072226029522,158.4863867187487,3191.6075247519184,87.83094650630129,99.39639929943813,87.84465607587177
73,21161.51953125,17012.400909609725,20594.0628125,16938.291408316865,4149.118621640275,567.4567187499997,4223.228122933135,80.39309693468317,97.31845003893972,80.04288814564315
74,22435.513671875,22309.556287695686,22384.74677734375,22306.744738814232,125.95738417931352,50.76689453125073,128.76893306076818,99.43858034176765,99.77372082817568,99.42604865239973
75,20569.919921875,19108.324063467993,20946.5528125,18939.680401779646,1461.5958584070067,376.63289062499825,1630.2395200953542,92.89449903568813,98.16901139112132,92.07464333217125
76,29445.95703125,28912.904018297766,29128.24296875,28917.059896430794,533.053012952234,317.7140624999993,528.8971348192063,98.18972427220986,98.92102653629895,98.20383785027633
77,27621.755859375,29649.050233610702,27609.71904296875,29325.858180462445,2027.294374235702,12.036816406249272,1704.1023210874446,92.66051591884002,99.95642269641536,93.83057930942843
78,16604.46484375,20153.578427455097,16444.103935546875,20710.75730997253,3549.113583705097,160.3609082031253,4106.2924662225305,78.62554670022382,99.03423019222757,75.26994995103284
79,17130.486328125,16557.15728642175,17111.06974609375,16558.384867982495,573.3290417032513,19.416582031248254,572.101460142505,96.65316541094369,99.88665481143188,96.66033147463406
80,30548.6953125,28769.656210558867,29946.47404296875,28730.199592990284,1779.0391019411327,602.2212695312483,1818.4957195097159,94.17638271048132,98.02865142563117,94.04722296351027
81,23449.322265625,20545.23759766743,23290.01447265625,20445.988968505913,2904.0846679575698,159.3077929687497,3003.3332971190866,87.61548570546644,99.32062943583541,87.19223838071537
82,16848.126953125,17104.54561755751,17172.002109375,17380.650942706936,256.4186644325091,323.87515625000015,532.5239895819359,98.4780583316714,98.07767856242366,96.8392688928358
83,19987.029296875,26400.201723373142,20511.236171875,26067.82506610855,6413.172426498142,524.2068749999999,6080.795769233551,67.91332853301591,97.37726468894525,69.57629030851378
84,24641.27734375,22835.358732845416,23700.8546875,22862.547479553672,1805.918610904584,940.4226562500007,1778.729864196328,92.67116478698846,96.18354745522748,92.78150300659034
85,27423.9296875,23984.93575376374,26040.90494140625,23898.66139936807,3438.9939337362594,1383.0247460937499,3525.2682881319306,87.45987911680004,94.95686883005632,87.14528396074917
86,19141.484375,18967.679567529744,19264.4675,19338.618563885808,173.8048074702565,122.98312499999884,197.13418888580782,99.09199932426736,99.35750476509219,98.97012068121907
87,20212.07421875,18004.165269419937,20458.8176171875,17930.47731600271,2207.9089493300635,246.7433984374984,2281.5969027472893,89.07628714680916,98.77922772414618,88.71171321629754
88,37714.875,35226.6004479379,38088.5748828125,35360.89539676901,2488.274552062103,373.6998828124997,2353.9796032309896,93.4024054114932,99.00914458071915,93.75848493934824
89,51826.6953125,45027.075228299815,49470.68,45278.65111372017,6799.620084200185,2356.0153124999997,6548.044198779833,86.880081696893,95.45405066193415,87.3654992677094
90,41929.7578125,41303.38729101898,43110.0053125,41203.331433578205,626.3705214810179,1180.2474999999977,726.4263789217948,98.50614324012555,97.18517930564306,98.26751591991014
91,16697.77734375,20447.078831413673,16913.71189453125,20927.560288145458,3749.3014876636735,215.93455078125044,4229.782944395458,77.54610442768276,98.70680662260672,74.66858697826228
92,69702.1484375,74610.0615815082,68527.9546484375,74549.78251110925,4907.913144008198,1174.1937890624977,4847.634073609253,92.95873476782572,98.31541234325745,93.04521570385167
93,26819.97265625,28588.193627317858,27206.17765625,28550.5953886743,1768.220971067858,386.20500000000175,1730.622732424301,93.40707392311305,98.56000971757142,93.54726138387392
94,28348.44140625,22956.60080191141,27552.26140625,22994.0891243883,5391.840604338591,796.1800000000003,5354.352281861698,80.9801162361263,97.19145053306364,81.11235744804927
95,20926.486328125,18319.71447016525,20448.6562890625,18279.188824424342,2606.7718579597495,477.8300390625009,2647.297503700658,87.5431937445883,97.71662556451103,87.3495365529056
96,27983.75,29342.589959447105,27295.99412109375,29333.41207050379,1358.8399594471048,687.7558789062496,1349.6620705037894,95.14418203619206,97.54230266170099,95.17697924508406
97,28033.5625,21975.235306522005,27817.36857421875,21707.709356397383,6058.327193477995,216.19392578124825,6325.853143602617,78.38902139719846,99.22880323975504,77.43471546435592
98,29445.044921875,27587.408960588407,29453.6596484375,27361.167232395885,1857.6359612865926,8.614726562500437,2083.8776894791154,93.69117633810592,99.97074303474368,92.92282387407403
99,41796.26953125,46363.4023478559,42852.944375,46454.617239218736,4567.132816605903,1056.6748437499991,4658.347707968736,89.07286973735496,97.47184412484481,88.85463281720439
100,24436.353515625,23321.147061790598,22965.8486328125,23434.96367485164,1115.206453834402,1470.5048828125,1001.3898407733614,95.43628122288655,93.98230639496914,95.90204880555089
101,24136.97265625,19235.496913597835,23683.97697265625,19142.747787777313,4901.475742652165,452.99568359374825,4994.224868472687,79.69307993816291,98.12322908077518,79.308818302947
102,26911.720703125,29432.428262014128,27188.92349609375,29281.582892977356,2520.7075588891275,277.20279296875015,2369.862189852356,90.63342107813855,98.96995515066949,91.1939403058045
103,21769.255859375,19688.445602403808,20371.35185546875,19692.22951857565,2080.810256971192,1397.9040039062493,2077.0263407993516,90.44151867012448,93.57854024530546,90.45890059717006
104,22930.548828125,18445.630376347814,22566.76681640625,18505.77419712207,4484.918451777186,363.78201171875116,4424.774631002929,80.44129477495846,98.41354860520146,80.70358165358951
105,17586.771484375,18366.476053569044,16639.347822265627,18460.398434227056,779.7045691940439,947.4236621093733,873.626949852056,95.56652811525541,94.61286192891565,95.0324768214096
106,24197.533203125,25474.97470157758,26151.25296875,25548.98996700078,1277.4414984525793,1953.7197656249991,1351.4567638757799,94.72077799117307,91.9259548102503,94.41489860751076
107,68390.625,55064.676723890734,69871.3482421875,55497.953740933466,13325.948276109266,1480.7232421874942,12892.671259066534,80.51494883091175,97.83490318711448,81.1484815951506
108,20735.478515625,27946.591418066953,20534.13322265625,27680.0725416353,7211.112902441953,201.34529296874825,6944.594026010302,65.22331087267605,99.02898169040552,66.50863870454074
109,28175.81640625,23912.34783840589,27204.52921875,23961.826041935252,4263.468567844109,971.2871874999983,4213.990364314748,84.86834061390896,96.55276293153108,85.0439458308651
110,28814.900390625,29826.631242394003,29453.80357421875,29890.801816009378,1011.7308517690035,638.9031835937494,1075.901425384378,96.48886222734203,97.7827333257011,96.26616295458572
111,20548.24609375,21252.919374167082,20447.8445703125,21780.38954650551,704.6732804170824,100.40152343750015,1232.1434527555102,96.57064025220421,99.51138640748498,94.00365633575763
112,16547.49609375,17110.16978919751,16826.677890625,17045.956785525465,562.6736954475091,279.18179687500015,498.4606917754645,96.59964448844903,98.31284566986272,96.9876971781626
113,27219.658203125,29301.754704691335,27220.93609375,29050.485989301436,2082.096501566335,1.2778906249986903,1830.8277861764363,92.3507617692007,99.99530526571839,93.27387665005196
